marque,version,annee,kilometrage,energie,emission_C02,consommation_mixte,transmission,portes,puissance_fiscale,places,lieu,prix
Nissan,Qashqai+2 1.6 dCi 130 FAP All-Mode Stop/Start 360,2013,166,Diesel,139,5.3,Manuelle,4,7,7,31390,9200
BMW,X1 sDrive 18d 143 ch Business,2011,203000,Diesel,136,5.2,Manuelle,4,8,5,69270,9400
Hyundai,Tucson 1.7 CRDi 115 2WD Business,2017,50000,Diesel,119,4.6,Manuelle,4,6,5,13720,17500
Fiat,500C 1.2 8V 69 ch Lounge Dualogic,2012,72500,Essence,118,5.1,Semi automatique,2,4,4,44450,8000
Opel,Astra Twintop 1.9 CDTI - 150 FAP 111,2010,125980,Diesel,159,6.0,Manuelle,2,9,4,59790,5900
Audi,A4 1.9 TDI - 130 Pack,2001,293000,Diesel,149,5.5,Manuelle,4,7,5,33600,1500
Audi,A3 1.6i Attraction,1999,180700,Essence,182,7.6,Manuelle,2,7,5,64800,1900
Citroën,DS7 Crossback PureTech 180 EAT8 Business,2019,15000,Essence,119,5.2,Automatique,4,9,5,92140,36300
Audi,A6 Avant 2.5 TDI V6 - 180 Pack Plus Quattro Tiptronic A,2003,366459,Diesel,230,8.5,Automatique,4,12,5,83470,1500
Peugeot,108 VTi 72ch BVM5 Access,2019,41000,Essence,93,4.1,Manuelle,4,4,4,77850,8500
Volkswagen,Golf 1.5 TSI 150 EVO DSG7 Confortline,2020,52320,Essence,109,5.1,Automatique,4,8,5,56170,24500
Citroën,C3 BlueHDi 100 S&S BVM6 Shine,2021,4000,Diesel,null,null,Manuelle,4,5,5,14680,18700
Audi,Q2 1.0 TFSI 116 ch S tronic 7,2017,43000,Essence,117,5.1,Semi automatique,4,6,5,74000,22900
Fiat,500C 1.0 70 ch Hybride BSG S/S Dolcevita Spiaggina,2021,800,Essence,null,null,Manuelle,2,4,4,68740,18500
Dacia,Sandero 1.5 dCi 90 FAP Stepway Ambiance,2015,120000,Diesel,105,4.0,Manuelle,4,5,5,01300,7600
Citroën,Xsara Picasso 1.8i 16V,2003,177000,Essence,184,7.7,Manuelle,4,7,5,33600,2990
Renault,Scenic dCi 110 Energy Business,2018,154000,Diesel,100,3.9,Manuelle,4,5,5,41140,10890
LEXUS,NX 300h 4WD Luxe,2018,45900,Hybride,130,5.9,Automatique,4,8,5,44500,32990
BMW,114d 95 ch Business,2016,124000,Diesel,95,3.6,Manuelle,4,5,5,51330,11500
Peugeot,308 1.6 HDi 110 FAP Confort Pack,2008,203000,Diesel,125,4.7,Manuelle,4,6,5,11000,3600
Audi,A3 Sportback 2.0 TDI 140 DPF Ambiente,2012,171500,Diesel,115,4.4,Manuelle,4,7,5,38300,9300
Ford,Ka 1.2 69 Ambiente,2009,93000,Essence,119,5.1,Manuelle,2,4,4,75014,4000
Mercedes,E 270 CDI Elégance,2002,241000,Diesel,172,6.5,Manuelle,4,10,5,11510,3390
Peugeot,5008 1.6 HDi 110ch FAP BVM6 Confort Pack 7pl,2010,78000,Diesel,140,5.3,Manuelle,4,6,7,11000,7200
Volkswagen,Sharan 2.0 TDI 140 FAP BlueMotion Technology Carat DSG6,2011,223255,Diesel,149,5.7,Semi automatique,4,8,5,59600,10500
Volkswagen,Passat 1.9 TDI - 115 Confort,2000,260000,Diesel,143,5.3,Manuelle,4,7,5,57330,1650
Opel,Insignia Grand Sport 1.6 Diesel 136 ch BVA6 Innovation Business,2018,51000,Diesel,139,5.2,Automatique,4,7,5,22950,16700
Volvo,XC90 D5 AWD 225 Inscription Geartronic A 7pl,2016,55600,Diesel,152,5.8,Automatique,4,13,7,29000,44500
Daimler,null,1989,265000,Essence,null,null,Automatique,4,null,null,45270,7500
Audi,Q5 2.0 TDI 143 DPF Quattro Ambiente,2010,120500,Diesel,172,6.5,Manuelle,4,9,5,08110,15500
Renault,Scénic 1.9 DCI - 105 Sport Way,2003,344343,Diesel,157,5.9,Manuelle,4,6,5,vendeur,600
Opel,Grandland X Business 1.6 D 120 ch ECOTEC Edition,2018,65890,Diesel,104,4.0,Manuelle,4,6,5,12400,17890
Kia,Venga 1.6 CRDi 115 ch Premium,2010,189500,Diesel,129,4.9,Manuelle,4,6,5,31000,4950
Chrysler,PT Cruiser 2.4 Limited A,2004,112000,Essence,258,10.8,Automatique,2,10,5,17200,6900
Peugeot,3008 1.6 HDi 16V 110ch FAP Confort Pack,2009,174898,Diesel,137,5.1,Manuelle,4,6,5,vendeur,5600
Lexus,RX300 3.0i V6 Pack A,2001,278000,Essence,311,13.0,Automatique,4,15,5,17200,5900
Citroën,DS3 PureTech 110 BVA So Chic,2019,8100,Essence,119,5.2,Automatique,2,6,2,74970,17950
Mercedes,CLK 240 Elégance A,2002,921230,Essence,238,9.9,Automatique,2,11,4,06270,4900
Ford,B-MAX 1.0 EcoBoost 125 S&S Business,2016,73000,Essence,114,4.9,Manuelle,4,6,5,59510,10500
Citroën,C4 Aircross HDi 150 Confort,2012,null,Diesel,141,5.4,Manuelle,4,8,5,67210,6500
Audi,A5 Sportback 2.0 TDI 143 S line,2013,124000,Diesel,119,4.5,Manuelle,4,7,4,38490,15490
Seat,Ibiza 1.0 EcoTSI 95 ch S/S BVM5 Xcellence,2018,46000,Essence,null,null,Manuelle,4,5,5,79300,12900
Peugeot,2008 PureTech 110ch S&S BVM6 Allure,2019,22000,Essence,104,4.8,Manuelle,4,5,5,42640,18000
Renault,Clio TCe 120 Energy Edition One,2017,38000,Essence,118,5.3,Manuelle,4,6,5,94500,13500
Hyundai,i30 1.4 CRDi 90 Blue Drive Pack Inventive,2012,135000,Diesel,105,4.0,Manuelle,4,5,5,95210,8100
Renault,Clio 1.2 Campus,2005,198500,Essence,143,6.0,Manuelle,2,4,5,38000,1900
Kia,Venga 1.4 CRDi 90 ch Active,2010,127000,Diesel,124,4.7,Manuelle,4,5,5,06200,6500
Nissan,Qashqai 1.6 dCi 130 Stop/Start Acenta,2015,133580,Diesel,115,4.4,Manuelle,4,7,5,64300,12000
Peugeot,207 1.6 HDi 16v 90ch Exécutive,2006,262000,Diesel,120,4.5,Manuelle,4,5,5,77250,3490
Peugeot,308 1.6 THP 140ch Féline A,2008,100200,Essence,188,7.9,Automatique,4,9,5,95000,6500
Dacia,Sandero TCe 90 - 22 Confort,2022,60,Essence,null,null,Manuelle,4,5,5,27940,14900
Citroën,C5 Aircross PureTech 130 S&S EAT8 Business,2020,20000,Essence,null,null,Automatique,4,7,5,72230,26500
Nissan,NP300 NAVARA 2.3 DCI 160 KING CAB N-CONNECTA,2016,123000,Diesel,169,null,Manuelle,4,8,4,21500,20500
Citroën,C4 Picasso BlueHDi 150 S&S Business,2014,197000,Diesel,107,4.1,Manuelle,4,7,5,81500,8490
Mini,Mini 1.6i - 115 Cooper,2006,119500,Essence,166,6.9,Manuelle,2,7,4,78400,6800
Peugeot,308 1.6 BlueHDi 100ch S&S BVM5 Access,2016,141000,Diesel,94,3.6,Manuelle,4,5,5,42000,10000
Renault,Espace dCi 160 Energy Twin Turbo Initiale Paris EDC,2015,111000,Diesel,120,4.6,Automatique,4,8,7,83330,15500
Dacia,Lodgy Blue dCi 115 7 places 15 ans,2021,5500,Diesel,null,null,Manuelle,4,6,7,71570,17500
Renault,Twingo III 1.0 SCe 70 eco2 Stop & Start Zen,2016,60300,Essence,95,4.2,Manuelle,4,4,4,34070,6990
Mercedes,Classe A 220 CDI BlueEFFICIENCY 4-Matic Fascination 7-G DCT A,2014,164000,Diesel,127,4.9,Automatique,4,9,5,51120,17490
Peugeot,5008 BlueHDi 180ch S&S EAT8 Allure Business,2019,37500,Diesel,null,null,Automatique,4,9,7,74890,30800
Mercedes,GLB 200 d 8G-DCT AMG Line,2021,15500,Diesel,null,null,Automatique,4,8,7,06210,48300
Renault,Twingo III SCe 65 Zen,2021,10089,Essence,null,null,Manuelle,4,4,5,vendeur,8900
Peugeot,2008 PureTech 130 S&S EAT8 GT,2021,1000,Essence,null,null,Automatique,4,7,5,57185,30300
Renault,Mégane III dCi 110 FAP Energy eco2 Dynamique,2012,181000,Diesel,90,3.5,Manuelle,4,5,5,78830,5300
Mercedes,Classe A 180 d 8G-DCT AMG Line,2018,24000,Diesel,null,null,Automatique,4,6,5,82170,30000
Dacia,Duster Blue dCi 115 4x2 Confort,2019,53000,Diesel,null,null,Manuelle,4,6,5,56240,15900
Opel,Corsa 1.3 CDTI Cosmo,2004,246000,Diesel,127,4.7,Manuelle,4,4,5,40260,1200
Volkswagen,Golf 1.6 TDI 115 BlueMotion Technology FAP DSG7 Confortline Business,2017,82500,Diesel,102,3.9,Semi automatique,4,6,5,78310,14850
